Protein ID	Type	Source
NP_232513.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232523.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232510.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232520.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232517.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232514.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232511.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232522.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232508.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232519.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232516.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232513.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232524.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232510.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232521.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232518.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232515.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232512.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232522.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232509.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232519.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232516.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232513.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232524.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232510.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232521.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232518.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232515.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232512.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232523.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232509.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232520.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232517.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232514.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232524.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232511.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232521.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232508.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232518.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
NP_232515.1	VFDB	http://www.mgc.ac.cn/cgi-bin/VFs/vfs.cgi?VFID=VF0335
